word,type,age
automaatti,substantiivi,new
automarketti,substantiivi,new
automatisointi,substantiivi,new
automerkki,substantiivi,new
autopankki,substantiivi,new
autopilotti,substantiivi,new
autopommi,substantiivi,new
autotalli,substantiivi,new
autotrofi,substantiivi,new
avaari,substantiivi,new
avahi,substantiivi,new
avainromaani,substantiivi,new
avaruusraketti,substantiivi,new
avausmaali,substantiivi,new
aventuriini,substantiivi,new
aventuriinikvartsi,substantiivi,new
aviisi,substantiivi,new
avioerolapsi,substantiivi,old
aviopari,substantiivi,new
avokonttori,substantiivi,new
avoleski,substantiivi,old
avomeri,substantiivi,old
avopari,substantiivi,new
avorivi,substantiivi,new
avosetti,substantiivi,new
avotuli,substantiivi,old
avovesi,substantiivi,old
avoviemäri,substantiivi,new
awadhi,substantiivi,new
azeri,substantiivi,new
baari,substantiivi,new
baarimestari,substantiivi,new
baarituoli,substantiivi,new
bagatelli,substantiivi,new
bagatellisointi,substantiivi,new
bakeliitti,substantiivi,new
bakkanaali,substantiivi,new
bakteeri,substantiivi,new
bakteriofagi,substantiivi,new
bakteriologi,substantiivi,new
bakteriolyysi,substantiivi,new
bakteriostaatti,substantiivi,new
bakterisidi,substantiivi,new
balaniitti,substantiivi,new
balanopostiitti,substantiivi,new
balansointi,substantiivi,new
balanssi,substantiivi,new
baldakiini,substantiivi,new
baletti,substantiivi,new
balettimestari,substantiivi,new
balettitanssi,substantiivi,new
bali,substantiivi,new
baliisi,substantiivi,new
balladi,substantiivi,new
balsami,substantiivi,new
balsamointi,substantiivi,new
baltti,substantiivi,new
banaali,adjektiivi,new
banaani,substantiivi,new
banaanikasvi,substantiivi,new
banaanikerttuli,substantiivi,new
banaaninkuori,substantiivi,old
banalisointi,substantiivi,new
banderolli,substantiivi,new
bandiitti,substantiivi,new
banketti,substantiivi,new
banneri,substantiivi,new
bantukieli,substantiivi,old
baptismi,substantiivi,new
baptisti,substantiivi,new
barbaari,substantiivi,new
barbi,substantiivi,new
barbituraatti,substantiivi,new
bardi,substantiivi,new
baretti,substantiivi,new
baritoni,substantiivi,new
baritonisaksofoni,substantiivi,new
baritonitorvi,substantiivi,old
barografi,substantiivi,new
barokki,substantiivi,new
barometri,substantiivi,new
baronetti,substantiivi,new
baroreseptori,substantiivi,new
barreli,substantiivi,new
barrikadi,substantiivi,new
baryoni,substantiivi,new
barytoni,substantiivi,new
basaari,substantiivi,new
basaltti,substantiivi,new
basenji,substantiivi,new
basettitorvi,substantiivi,old
basiliski,substantiivi,new
basilli,substantiivi,new
basisti,substantiivi,new
basitrasiini,substantiivi,new
baskeri,substantiivi,new
baski,substantiivi,new
basmatiriisi,substantiivi,new
bassi,substantiivi,new
bassoklarinetti,substantiivi,new
bastardi,substantiivi,new
bastioni,substantiivi,new
bataatti,substantiivi,new
batiikki,substantiivi,new
batikki,substantiivi,new
baudi,substantiivi,new
bauksiitti,substantiivi,new
beduiini,substantiivi,new
beesi,adjektiivi,new
beetakaroteeni,substantiivi,new
begiini,substantiivi,new
behaviorismi,substantiivi,new
bei,substantiivi,new
beibi,substantiivi,new
benediktiini,substantiivi,new
bengali,substantiivi,new
bensiini,substantiivi,new
bensiinimoottori,substantiivi,new
bentoniitti,substantiivi,new
bentseeni,substantiivi,new
bentsodiatsepiini,substantiivi,new
berberi,substantiivi,new
berberikieli,substantiivi,old
bergamotti,substantiivi,new
berliininmunkki,substantiivi,new
berylli,substantiivi,new
betoni,substantiivi,new
betonielementti,substantiivi,new
betonitiili,substantiivi,old
betonointi,substantiivi,new
bibliofiili,substantiivi,new
bibliografi,substantiivi,new
biennaali,substantiivi,new
bihari,substantiivi,new
biisami,substantiivi,new
biisi,substantiivi,new
biisoni,substantiivi,new
biitti,substantiivi,new
bikarbonaatti,substantiivi,new
bilabiaali,substantiivi,new
bilhartsioosi,substantiivi,new
bilirubiini,substantiivi,new
biljardi,substantiivi,new
biljardikeppi,substantiivi,new
biljardipeli,substantiivi,new
biljardisali,substantiivi,new
bini,substantiivi,new
binomi,substantiivi,new
binääri,substantiivi,new
biodiversiteetti,substantiivi,new
biogeneesi,substantiivi,new
biografi,substantiivi,new
biologi,substantiivi,new
biomi,substantiivi,new
biosfääri,substantiivi,new
biosidi,substantiivi,new
biotiini,substantiivi,new
biotiitti,substantiivi,new
biotooppi,substantiivi,new
biotyyppi,substantiivi,new
bisarri,adjektiivi,new
biseksuaali,substantiivi,new
bisnesenkeli,substantiivi,new
bitti,substantiivi,new
bittinikkari,substantiivi,new
bitumi,substantiivi,new
bleiseri,substantiivi,new
blini,substantiivi,new
blisskieli,substantiivi,old
blogi,substantiivi,new
blogosfääri,substantiivi,new
blokki,substantiivi,new
blondi,adjektiivi,new
bluffi,substantiivi,new
bodari,substantiivi,new
bodi,substantiivi,new
bofori,substantiivi,new
boheemi,adjektiivi,new
boikotointi,substantiivi,new
boikotti,substantiivi,new
boileri,substantiivi,new
boksari,substantiivi,new
bokseri,substantiivi,new
bokserimoottori,substantiivi,new
boksi,substantiivi,new
bolidi,substantiivi,new
bongari,substantiivi,new
booli,substantiivi,new
booraksi,substantiivi,new
boordi,substantiivi,new
boori,substantiivi,new
bordelli,substantiivi,new
bordyyri,substantiivi,new
borssi,substantiivi,new
bosoni,substantiivi,new
botanisti,substantiivi,new
botti,substantiivi,new
botuliini,substantiivi,new
botulismi,substantiivi,new
braatvursti,substantiivi,new
brahmaani,substantiivi,new
bramiini,substantiivi,new
brasilianportugali,substantiivi,new
brassi,substantiivi,new
bratwursti,substantiivi,new
bravuuri,substantiivi,new
breikki,substantiivi,new
bretoni,substantiivi,new
brigadööri,substantiivi,new
briketti,substantiivi,new
briljantti,substantiivi,new
brislinki,substantiivi,new
britti,substantiivi,new
broidi,substantiivi,new
broileri,substantiivi,new
brokkoli,substantiivi,new
bromi,substantiivi,new
bromidi,substantiivi,new
bronkiitti,substantiivi,new
bronkioli,substantiivi,new
bronkioliitti,substantiivi,new
brosyyri,substantiivi,new
brunetti,substantiivi,new
brunssi,substantiivi,new
bruselloosi,substantiivi,new
brutaali,adjektiivi,new
brysselinkaali,substantiivi,new
brändi,substantiivi,new
buddhismi,substantiivi,new
budjetointi,substantiivi,new
budjetti,substantiivi,new
budjettiriihi,substantiivi,old
budoaari,substantiivi,new
bufetti,substantiivi,new
buffetti,substantiivi,new
bugi,substantiivi,new
bulbuli,substantiivi,new
